Vernier Format 2
robotVelData.cmbl 11/14/2019 22:07:14 .
Data Set
X	Y1	W	Z2	Y2	Z1
x	y1	w	z2	y2	z1
					

9940	-64.8	9940	-61.5667	-62.6333	-63.9333
9950	-62.7667	9950	-61.3667	-61.4	-62.8667
9960	-62.1	9960	-62.9333	-63.5	-63.9667
9970	-63.4667	9970	-64.8	-62.9333	-62.3667
9980	-63.4333	9980	-64.3333	-62.7333	-61.9333
9990	-61.9667	9990	-62.8333	-62.7	-62.5333
10000	-61.6	10000	-65.7333	-63.8333	-63.6333
10010	-61.7667	10010	-64.5667	-64.3333	-63.0667
10020	-62.2667	10020	-63.4667	-61.6667	-62.7333
10030	-62.2	10030	-62.7667	-64	-65.3
10040	-61.6667	10040	-60.7	-60	-63.9333
10050	-62.3667	10050	-49.9	-51.3667	-63.7
10060	-57.8	10060	-40.5667	-45.2	-63.9333
10070	-53.9667	10070	-35.3	-40.7333	-62.5
10080	-48.7333	10080	-31.9667	-37.5	-62.2333
10090	-43.8667	10090	-29.8	-34.5667	-61.3
10100	-38.9667	10100	-25.3	-31.8333	-55.2333
10110	-32.6333	10110	-22.5	-27.4	-46.8333
10120	-30.5333	10120	-18.4333	-24.1	-41.1333
10130	-28.9	10130	-14.5333	-22.1	-37.4
10140	-27.3333	10140	-12	-22.5	-35.7667
10150	-26.4667	10150	-8.63333	-19.4667	-33.5667
10160	-25.7333	10160	-8.63333	-19.1333	-29.7667
10170	-25.9333	10170	-8.63333	-20.9	-26.4333
10180	-30.8	10180	-8.63333	-20.9	-20.7
10190	-30.8	10190	-2.53333	-30.1	-14.4333
10200	-36.1667	10200	-2.53333	-36.1333	-10.5333
10210	-39.0667	10210	-2.53333	-40.1	-7.63333
10220	-40.6333	10220	-2.53333	-41.2667	-6.26667
10230	-39.6	10230	-1.36667	-40.8	-6.26667
10240	-36.3667	10240	-1.36667	-37.7333	-2.03333
10250	-35.6	10250	2.2	-37.7333	0.833333
10260	-35.4	10260	2.2	-38.0333	0.833333
10270	-34.2667	10270	2.2	-34.1	0.833333
10280	-34.1333	10280	 	-34.3	1.96667
10290	-32.0667	10290	 	-32.8333	1.96667
10300	-31.4667	10300	 	-32.5	1.9
10310	-29.3667	10310	 	-30.5	1.9
10320	-28.2	10320	 	-29.3333	1.9
10330	-27.4	10330	 	-26.8333	 
10340	-25.6667	10340	 	-25	 
10350	-24.9667	10350	 	-23.1667	 
10360	-20.8667	10360	 	-17.8	 
10370	-18.0667	10370	 	-15.1333	 
10380	-16.1	10380	 	-15.1333	 
10390	-16.1	10390	 	-13.8667	 
10400	-13.7667	10400	 	-12.3333	 
10410	-12.3333	10410	 	-10.8	 
10420	-11.2333	10420	 	-8.53333	 
10430	-10.5667	10430	 	-7.13333	 
10440	-9.13333	10440	 	-6.66667	 
10450	-7.66667	10450	 	-4.96667	 
10460	-6.5	10460	 	-4.96667	 
10470	-5.76667	10470	 	-3.36667	 
10480	-4.5	10480	 	-3.36667	 
10490	-3.86667	10490	 	-3.36667	 
